"Experiment page name",Study,"Location of subjects","Host species","Body site","UBERON ID",Condition,"EFO ID","Group 0 name","Group 1 name","Group 1 definition","Group 0 sample size","Group 1 sample size","Antibiotics exclusion","Sequencing type","16S variable region","Sequencing platform","Statistical test","Significance threshold","MHT correction","LDA Score above","Matched on","Confounders controlled for",Pielou,Shannon,Chao1,Simpson,"Inverse Simpson",Richness,State,Reviewer
"Experiment 1","Study 695",China,"Mus musculus",Feces,UBERON:0001988,"antimicrobial agent",CHEBI:33281,control,Coli,"Group 1 mice were treated with colistin (2 mg/ml) in sterile drinking water (Coli group).  Mice (in all groups) were then subcutaneously injected into the right axillary with 0.25 live CT26 tumor cells.",13,14,,16S,4,Illumina,ANOVA,0.05,true,,,,,,,,,,Complete,
"Experiment 1","Study 700",Canada,"Homo sapiens",Feces,UBERON:0001988,,,"healthy controls","children with ulcerative colitis","Children hospitalized for intravenous corticosteroid therapy for acute UC",26,27,"1 month",16S,,RT-qPCR,T-Test,0.05,true,,age,,,decreased,,,,,Incomplete,
"Experiment 1","Study 699","United States of America","Homo sapiens",Feces,UBERON:0001988,,,"Healthy controls","Patients with ulcerative colitis","Children aged 7-21 with mild to moderate ulcerative colitis",23,19,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,true,,,,,decreased,,,,,Incomplete,
"Experiment 1","Study 698",China,"Homo sapiens",Feces,UBERON:0001988,,,"Healthy controls","Patients with Crohn's disease","Patients with Crohn's disease (11 with as active disease defined by CDAI > 150, 4 with inactive disease)",29,15,"3 months",16S,4,Illumina,Kruskall-Wallis,0.05,true,,"age,sex",,,unchanged,decreased,unchanged,,,Complete,
"Experiment 1","Study 697",China,"Homo sapiens",Feces,UBERON:0001988,,,"Non-responders to Immune checkpoint inhibitors","Responders to Immune checkpoint inhibitors","“Objective response” was defined as complete or partial response per Response
Evaluation Criteria in Solid Tumors (RECIST) v.1.1.",26,10,,16S,"3,4",Illumina,LEfSe,,,3,,,,unchanged,unchanged,,,,Complete,
"Experiment 1","Study 658",China,"Homo sapiens",Feces,UBERON:0001988,,,"Non-responders (Progressive Disease)","Responders (Partial Response or Stable Disease)","Patients with histologically confirmed metastatic or unresectable MSS/MSI-L/pMMR colorectal cancer treated with 80 mg, or 120 mg regorafenib, plus toripalimab resulting in stable disease or partial response.",21,11,"Any condition requiring ongoing systemic antibiotic therapy",16S,"3,4",Illumina,LEfSe,0.05,,3,,,,decreased,,,,,Incomplete,
"Experiment 1","Study 696",China,"Homo sapiens","Intestinal mucosa",UBERON:0001242,Nutraceuticals,,"colorectal cancer patients perioperative placebo","colorectal cancer patients perioperative probiotics","Patients in the PGT group received an encapsulated probiotics preparation (Shanghai Xinyi Pharmaceutical Co., Ltd., Shanghai, China) containing live combined Bifidobacterium longum, Lactobacillus acidophilus and Enterococcus faecalis (1:1:1) with no less than 1.0x107 CFU/g viable cells, three times/day, with a total daily dose of 6.0x107 CFU for five days",11,11,"No antibiotics for 3 months preceding surgery",16S,3,Roche454,"Mann-Whitney (Wilcoxon)",0.05,,2,,,,increased,unchanged,increased,,,Complete,
"Experiment 1","Study 567",China,"Homo sapiens","Digestive system,Digestive tract,Lower digestive tract","UBERON:0001007,UBERON:0001555,UBERON:0004907","dietary fiber intake",,"Healthy control group (HC)","Advanced colorectal adenoma group (A-CRA)","Patients with a diagnosis of A-CRA by pathological examination were enrolled in the A-CRA group.",47,47,"6 months

None of the patients had received systemic or oral topical corticosteroids, antibiotics,
aspirin, other nonsteroidal antiinflammatory drugs (16), or health products that regulate intestinal microbiota within 6 mo before enrollment",16S,"1,2,3",Roche454,"Mann-Whitney (Wilcoxon)",0.05,,,"age,sex",,,unchanged,unchanged,,,,Complete,
"Experiment 1","Study 563",Afghanistan,"Homo sapiens","1st arch mandibular mesenchyme from head mesenchyme,Buccal salivary gland,abcd","UBERON:0010339,UBERON:0012102","Her2-receptor negative breast cancer,Cancer","MONDO:0000618,EFO:0000311","mild, moderate, and severe dementia","overweight irritable bowel syndrome",,1,2,,16S,,"DNA-DNA Hybridization",ANCOM,,true,,,,,,,,,,Incomplete,
"Experiment 1","Study 694",China,"Mus musculus",Feces,UBERON:0001988,"Gegen Qinlian decoction (GQD)",,non-GQD,"low-dose GQD (300 mg/kg)","BALB/c mice (male, ~20 g, aged 5 weeks) were fed adaptively for 1 week under specific pathogen-free conditions with food and water provided ad libitum.  Then the mice were
orally gavaged with 300 mg/kg Gegen Qinlian decoction (GQD), a classical
traditional Chinese medicine (TCM) formula, once a day for 10 days.  The mouse colorectal carcinoma cell line CT26  (~2.5 × 106 cells/mouse) were transplanted subcutaneously
into the left axillary region of each mouse and allowed ~1 week to establish tumours.",20,23,,16S,4,Illumina,"Mann-Whitney (Wilcoxon)",0.05,,,,,,unchanged,unchanged,,,,Complete,
